State,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,false,id,if,num,real,true,while,{,||,},block,bool,decl,decls,equality,expr,factor,join,loc,program,program',rel,stmt,stmts,term,type,unary
158,,,,s121,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,r13,r13,,,r13,r13,,,,r13,r13,,r13,,,,,,,,,,,,,,,,,
160,,r40,,r40,,r40,r40,r40,r40,r40,,r40,r40,,r40,r40,r40,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,
161,,r41,,r41,,r41,r41,r41,r41,r41,,,,,r41,,,s213,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,
162,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,,173,,161,,,,,,,,214
163,,r42,,r42,,r42,r42,r42,r42,r42,,,,,r42,,,,,,,,,,,,,,,,,r42,,,,,,,,,,,,,,,,,,
164,,r45,,r45,,r45,r45,r45,r45,r45,,,,,r45,,,,,,,,,,,,,,,,,r45,,,,,,,,,,,,,,,,,,
165,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,215,,,79,74,78,77,63,,,72,,,75,,69
166,,r36,,r36,,r36,r36,r36,r36,r36,,,,,r36,,,,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,
167,,r43,,r43,,r43,r43,r43,r43,r43,,,,,r43,,,,,,,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,
168,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,,173,,161,,,,,,,,216
169,,r44,,r44,,r44,r44,r44,r44,r44,,,,,r44,,,,,,,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,
170,,r33,,r33,,r33,s217,r33,r33,s218,,,,,r33,,,,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,
171,,r27,,r27,,r27,,s219,s220,,,,,,r27,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,
172,,r18,,r18,,r18,r18,r18,r18,r18,,,,,r18,,,r18,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,
173,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,
174,,r31,,r31,,r31,s119,r31,r31,s120,,r31,r31,,r31,r31,r31,,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,
175,,r26,,r26,,r26,,s219,s220,,,,,,r26,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,
176,,r32,,r32,,r32,s119,r32,r32,s120,,r32,r32,,r32,r32,r32,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,
177,,r29,,r29,,r29,,s219,s220,,,,,,r29,,,,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,
178,,r28,,r28,,r28,,s219,s220,,,,,,r28,,,,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,
179,,r34,,r34,,r34,r34,r34,r34,r34,,r34,r34,,r34,r34,r34,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,
180,,r35,,r35,,r35,r35,r35,r35,r35,,r35,r35,,r35,r35,r35,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,
181,,s123,,r21,,r21,,,,,,,,,s122,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,
182,,r23,,r23,,r23,,,,,,,,,r23,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,
183,,r24,,r24,,r24,,,,,,,,,r24,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,s221,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,s222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,r16,r16,r16,,r16,r16,,,,r16,r16,,r16,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,r4,r4,r4,,,r4,r4,,,,r4,r4,,r4,,,,223,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,s26,s29,,,s12,s31,,,,s30,s28,,,27,,,,,,,,25,,,,224,,,,
189,,,,,s225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,s226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,r11,r11,s227,,r11,r11,,,,r11,r11,,r11,,,,,,,,,,,,,,,,,
192,,r17,,r17,,,r17,r17,r17,r17,r17,r17,r17,,r17,r17,r17,r17,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,s228,,,,,,,,,,,,,,,,,,,,,,,
194,,r37,,r37,,,r37,r37,r37,r37,r37,,,,r37,,,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,
